R;Nome;Squadra;Qt.A;FVM
C;Thorstvedt;Sassuolo;9;13
C;Hjulmand;Lecce;9;18
C;De Roon;Atalanta;8;13
C;Cataldi;Lazio;8;14
C;Mandragora;Fiorentina;8;10
C;Linetty;Torino;8;7
C;Wijnaldum;Roma;8;10
C;Bourabia;Spezia;8;10
C;Sottil;Fiorentina;8;10
C;Agudelo;Spezia;8;12
C;Maldini;Spezia;8;4
C;Aebischer;Bologna;8;11
C;Ederson D.s.;Atalanta;8;25
C;Blin;Lecce;8;9
C;Djuricic;Sampdoria;7;12
C;Haas;Empoli;7;8
C;Walace;Udinese;7;10
C;Camara Ma.;Roma;7;6
C;Paredes;Juventus;6;12
C;Rovella;Monza;6;15
C;Tameze;Verona;6;17
C;Gyasi;Spezia;6;15
C;Pobega;Milan;6;8
C;Crnigoj;Salernitana;6;9
C;Matheus Henrique;Sassuolo;6;15
C;Volpato;Roma;6;1
C;Pickel;Cremonese;6;8
C;Moro N.;Bologna;6;8
C;Machin;Monza;5;11
C;Cuadrado;Juventus;5;30
C;Meite';Cremonese;5;9
C;Ndombele';Napoli;5;15
C;Nicolussi Caviglia;Salernitana;5;8
C;Schouten;Bologna;5;11
C;Obiang;Sassuolo;5;10
C;Amrabat;Fiorentina;5;18
C;Ilic;Torino;5;30
C;Harroui;Sassuolo;5;5
C;Asllani;Inter;5;7
C;Sabiri;Sampdoria;5;13
C;Terracciano F.;Verona;5;5
C;Castagnetti;Cremonese;5;8
C;Oudin;Lecce;5;5
C;Grassi;Empoli;4;4
C;Rincon;Sampdoria;4;8
C;Duncan;Fiorentina;4;11
C;Miguel Veloso;Verona;4;8
C;Leris;Sampdoria;4;6
C;Ekdal;Spezia;4;6
C;Vieira;Torino;4;8
C;Esposito Sa.;Spezia;4;8
C;Henderson L.;Empoli;4;8
C;Lopez M.;Sassuolo;4;15
C;Cuisance;Sampdoria;4;9
C;Saelemaekers;Milan;4;11
C;Akpa Akpro;Empoli;4;8
C;Kovalenko;Spezia;4;6
C;Romero L.;Lazio;4;4
C;Basic;Lazio;4;6
C;Ceide;Sassuolo;4;5
C;D'alessandro;Monza;3;2
C;Krunic;Milan;3;8
C;Benassi;Cremonese;3;10
C;Gagliardini;Inter;3;4
C;Winks;Sampdoria;3;14
C;Askildsen;Lecce;3;2
C;Maggiore;Salernitana;3;8
C;Maleh;Lecce;3;6
C;Bianco;Fiorentina;3;1
C;Vranckx;Milan;3;4
C;Galdames;Cremonese;3;5
C;Bohinen;Salernitana;3;8
C;Marcos Antonio;Lazio;3;6
C;Fazzini;Empoli;3;2
C;Sulemana I.;Verona;3;4
C;Abildgaard;Verona;3;6
C;Barberis;Monza;2;2
C;Kastanos;Salernitana;2;4
C;Vignato;Empoli;2;4
C;Valoti;Monza;2;8
C;Bove;Roma;2;1
C;D'andrea;Sassuolo;2;4
C;Iling-Junior;Juventus;2;7
C;Tahirovic;Roma;2;4
C;Paoletti;Sampdoria;2;1
C;Cipot;Spezia;2;2
C;Bakayoko;Milan;1;1
C;Gaetano;Napoli;1;1
C;Zurkowski;Spezia;1;17
C;Castrovilli;Fiorentina;1;7
C;Demme;Napoli;1;2
C;Darboe;Roma;1;1
C;Urbanski;Bologna;1;1
C;Bertini;Lazio;1;1
C;Yepes;Sampdoria;1;1
C;Pyyhtia;Bologna;1;1
C;Trimboli;Sampdoria;1;1
C;Pafundi;Udinese;1;1
C;Helgason;Lecce;1;1
C;Adli;Milan;1;3
C;Vignato S.;Monza;1;1
C;Hrustic;Verona;1;2
C;Samek;Lecce;1;1
C;Zerbin;Napoli;1;5
C;Ilkhan;Sampdoria;1;5
C;Degli Innocenti;Empoli;1;1
C;Acella;Cremonese;1;1
C;Carboni V.;Inter;1;1
C;Malagrida;Sampdoria;1;1
C;Faticanti;Roma;1;1
A;Osimhen;Napoli;42;482
A;Martinez L.;Inter;37;355
A;Dybala;Roma;35;239
A;Vlahovic;Juventus;33;348
A;Lookman;Atalanta;33;225
A;Rafael Leao;Milan;32;222
A;Immobile;Lazio;30;312
A;Arnautovic;Bologna;29;178
A;Dia;Salernitana;28;106
A;Dzeko;Inter;26;86
A;Milik;Juventus;25;84
A;Nzola;Spezia;25;127
A;Beto;Udinese;25;95
A;Abraham;Roma;24;165
A;Giroud;Milan;24;182
A;Lauriente';Sassuolo;22;70
A;Deulofeu;Udinese;21;12
A;Berardi;Sassuolo;20;239
A;Pedro;Lazio;20;40
A;Lozano;Napoli;20;49
A;Correa;Inter;19;13
A;Simeone;Napoli;19;44
A;Lukaku;Inter;19;192
A;Thauvin;Udinese;18;56
A;Di Maria;Juventus;18;88
A;Cabral;Fiorentina;18;32
A;Hojlund;Atalanta;18;164
A;Sanabria;Torino;17;42
A;Caprari;Monza;17;62
A;Piatek;Salernitana;17;54
A;Rebic;Milan;16;20
A;Bonazzoli;Salernitana;16;20
A;Zapata D.;Atalanta;16;68
A;Kouame';Fiorentina;16;20
A;Gonzalez N.;Fiorentina;16;48
A;Brekalo;Fiorentina;16;48
A;Mota;Monza;16;35
A;Kean;Juventus;15;25
A;Okereke;Cremonese;15;48
A;Ceesay;Lecce;15;18
A;Colombo;Lecce;14;23
A;Petagna;Monza;13;35
A;Muriel;Atalanta;13;36
A;Pinamonti;Sassuolo;13;37
A;Origi;Milan;13;23
A;Boga;Atalanta;13;34
A;Cambiaghi;Empoli;13;8
A;Dessers;Cremonese;13;32
A;Ciofani D.;Cremonese;12;7
A;Gabbiadini;Sampdoria;12;28
A;Di Francesco F.;Lecce;12;17
A;Jovic;Fiorentina;12;67
A;Caputo;Empoli;12;40
A;Alvarez A.;Sassuolo;12;12
A;Banda;Lecce;12;12
A;Barrow;Bologna;11;15
A;Lammers;Sampdoria;11;20
